Location,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Wrap,Cost,Reviewer,Rec,overall
taco stand,4.0,4.0,3.0,3.5,3.0,4.0,5.0,3.0,5.0,6.99,emily,Yes,3.5
cancun mexican & seafood,4.0,4.0,4.5,4.0,3.5,4.0,2.5,2.0,4.0,6.99,scott,Yes,4.2
cancun mexican & seafood,3.0,4.0,3.5,3.5,4.0,3.5,3.5,2.0,0.5,5.99,emily,Yes,3.9
vallarta express,3.5,3.0,4.0,3.5,4.0,4.0,4.0,3.5,4.5,6.95,scott,Yes,4.1
vallarta express,4.0,3.0,4.5,4.0,3.0,3.0,2.0,4.0,4.5,6.95,torben,No,3.0
vallarta express,3.5,3.75,5.0,3.0,3.0,4.5,4.5,3.5,4.5,6.5,ricardo,No,3.25
vallarta express,4.5,2.0,5.0,3.5,4.0,2.5,5.0,3.5,4.0,6.95,alex,Yes,3.75
vallarta express,3.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,7.65,richard,Yes,3.5
vallarta express,3.0,3.0,4.5,3.5,3.0,3.0,2.0,3.5,4.5,7.3,tom,Yes,3.5
mikes taco club,2.5,4.0,4.5,3.5,5.0,2.5,2.0,4.0,4.0,8.59,scott,Yes,4.3
mikes taco club,3.5,4.5,4.5,4.0,4.5,4.0,4.0,4.0,5.0,8.59,brad,Yes,4.5
la perla cocina,3.5,4.0,4.0,2.0,3.0,1.5,3.0,2.5,3.0,7.99,scott,No,2.5
la perla cocina,3.0,4.0,4.5,3.5,4.0,3.0,2.0,2.5,4.0,9.99,emily,Yes,4.0
porkyland,3.5,4.0,4.5,3.5,2.5,4.5,4.5,4.0,5.0,8.25,scott,Yes,4.0
porkyland,2.5,2.5,2.5,4.0,3.5,3.0,2.5,3.0,5.0,7.95,emily,Yes,3.3
porkyland,2.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,7.95,tara,Yes,4.0
porkyland,3.0,4.0,5.0,3.0,5.0,3.0,2.0,4.0,5.0,8.75,andy,Yes,4.0
